COUNTRY_REGION,Total_Cases,Total_Deaths,Population_2020,Area_km2,Cases_per_Million,Deaths_per_Million,CFR_%,Cases_per_km2,Deaths_per_km2,Population_Density_Calc
Vanuatu,1.0,0.0,311685,12189,3.2083674222371945,0.0,0.0,8.20411846747067e-05,0.0,25.57100664533596
Wallis and Futuna,3.0,0.0,11655,142,257.4002574002574,0.0,0.0,0.02112676056338028,0.0,82.0774647887324
Zimbabwe,11246.0,307.0,15669666,390757,717.6923873169984,19.591993856154943,2.729859505601992,0.028780034650690837,0.0007856545116274308,40.10079409965785
Canada,460743.0,13431.0,37888705,9984670,12160.431453120396,354.4855914183396,2.915074130263509,0.046145040346851726,0.0013451621335507332,3.7946877563304544
Estonia,18055.0,149.0,1329444,45227,13580.865384326078,112.07692840014322,0.8252561617280533,0.3992084374378137,0.0032944922280938376,29.394918964335464
French Polynesia,15618.0,91.0,301920,4167,51728.93481717011,301.4043455219926,0.5826610321423998,3.748020158387329,0.02183825293976482,72.45500359971203
Gambia,3782.0,123.0,2573995,10689,1469.3113234485693,47.78564060924749,3.252247488101533,0.35382168584526147,0.011507156890261015,240.80783983534474
Grenada,69.0,0.0,123663,344,557.968026006162,0.0,0.0,0.2005813953488372,0.0,359.48546511627904
Guam,7106.0,118.0,169231,549,41989.94274098717,697.2717764475775,1.6605685336335492,12.943533697632057,0.21493624772313297,308.25318761384335
Guatemala,129282.0,4423.0,17362718,108889,7445.954026322377,254.74122196766658,3.421203261088164,1.1872824619566715,0.04061934630678948,159.45336994554089
Indonesia,617820.0,18819.0,271857970,1904569,2272.5837318655767,69.2236464503873,3.0460328250946875,0.3243883524303924,0.009880975695813593,142.7398902323833
Isle of Man,370.0,25.0,84046,572,4402.351093448826,297.4561549627585,6.756756756756757,0.6468531468531469,0.043706293706293704,146.93356643356643
Jordan,259614.0,3365.0,10928721,89342,23755.204291517737,307.9042826694908,1.29615506097514,2.9058449553401537,0.0376642564527322,122.32456179624364
Kuwait,146218.0,911.0,4360444,17818,33532.82372162101,208.9236784144,0.6230423066927464,8.206195981591648,0.05112807273543608,244.72129307441912
Kyrgyzstan,77674.0,1312.0,6424874,199951,12089.57560879793,204.2063392994166,1.6891108994000568,0.3884651739676221,0.006561607593860496,32.13224239938785
Latvia,25675.0,349.0,1897052,64559,13534.157208131353,183.96965396836777,1.3592989289191821,0.39769822952647965,0.005405907774283988,29.384779813813722
Monaco,668.0,2.0,36922,2,18092.194355668707,54.168246573858404,0.29940119760479045,334.0,1.0,18461.0
Mozambique,16954.0,142.0,31178239,801590,543.7767027188419,4.554458640207357,0.8375604577090952,0.021150463453885403,0.0001771479185119575,38.89549395576292
Myanmar,108342.0,2268.0,53423198,676578,2027.995403794434,42.45346749926876,2.093370991859113,0.1601323129040554,0.003352163386926563,78.96088551504778
Namibia,16536.0,160.0,2489098,825615,6643.370409682544,64.28031359150985,0.9675858732462507,0.020028705873803166,0.00019379492862896144,3.0148410578780664
Montserrat,13.0,1.0,4500,102,2888.8888888888887,222.22222222222223,7.6923076923076925,0.12745098039215685,0.00980392156862745,44.11764705882353
New Caledonia,36.0,0.0,286403,18575,125.69700736374969,0.0,0.0,0.0019380888290713323,0.0,15.418734858681022
New Zealand,1740.0,25.0,5061133,270467,343.7965372575666,4.939605420367337,1.4367816091954022,0.00643331718841855,9.243271822440446e-05,18.71257121940939
Nigeria,73175.0,1197.0,208327405,923768,351.2499951698626,5.745763501446198,1.6358045780662793,0.07921361207575928,0.0012957798927869335,225.51918338803682
North Macedonia,73638.0,2121.0,2111072,25713,34881.80412605539,1004.7028239681072,2.8803063635622914,2.863843192159608,0.08248745770621864,82.10134951192003
Northern Mariana Islands,113.0,2.0,49587,464,2278.8230786294794,40.33315183415008,1.7699115044247788,0.2435344827586207,0.004310344827586207,106.86853448275862
Norway,40022.0,387.0,5379839,323802,7439.256081826984,71.9352382106602,0.9669681675078706,0.12360022482875338,0.0011951748290622048,16.614594721465586
Papua New Guinea,725.0,8.0,9749640,462840,74.36172002248288,0.8205431174894663,1.103448275862069,0.0015664160401002505,1.728459078731311e-05,21.064817215452425
Philippines,449400.0,8733.0,112190977,342353,4005.6697251152377,77.84048444466261,1.9432576769025367,1.3126801868247102,0.025508758503649743,327.70554661416725
Portugal,348744.0,5559.0,10298192,92090,33864.58516213331,539.8034917197116,1.5940059183813915,3.7869909870778584,0.060364860462590944,111.82747312411772
Russian Federation,2653928.0,46941.0,145617329,17098242,18225.358329433442,322.35861159079496,1.7687367554809323,0.15521642517400328,0.002745369962596155,8.516508831726677
Saint Kitts and Nevis,27.0,0.0,47642,261,566.7268376642459,0.0,0.0,0.10344827586206896,0.0,182.53639846743295
Saint Lucia,275.0,4.0,179237,616,1534.281426268014,22.316820745716566,1.4545454545454546,0.44642857142857145,0.006493506493506494,290.96915584415586
San Marino,1947.0,51.0,34007,61,57252.91851677596,1499.6912400388155,2.6194144838212634,31.918032786885245,0.8360655737704918,557.4918032786885
Senegal,17075.0,349.0,16436119,196722,1038.8705508885646,21.233723119186468,2.0439238653001466,0.0867976128750216,0.001774077124063399,83.54997915840627
Seychelles,187.0,0.0,105530,452,1772.0079598218517,0.0,0.0,0.413716814159292,0.0,233.47345132743362
Solomon Islands,17.0,0.0,691191,28896,24.595227657767534,0.0,0.0,0.0005883167220376523,0.0,23.919954318936878
Somalia,4579.0,121.0,16537016,637657,276.89396926265294,7.316918602485479,2.642498362087792,0.007180976606545525,0.000189757189209873,25.934030364286755
Sri Lanka,32790.0,152.0,21715079,65610,1510.010624414491,6.999744279079067,0.4635559621835926,0.4997713763145862,0.0023167200121932633,330.9720926688005
Switzerland,372329.0,5378.0,8638613,41284,43100.55329484027,622.5536437388733,1.4444214659615555,9.018723960856507,0.1302683848464296,209.2484497626199
Syrian Arab Republic,9166.0,518.0,20772595,185180,441.2544508762627,24.93670145689549,5.651320096006982,0.049497785938006265,0.0027972783237930664,112.17515390430933
Tajikistan,12704.0,88.0,9543207,143100,1331.2086806877394,9.221218820884845,0.6926952141057935,0.0887770789657582,0.0006149545772187281,66.68907756813417
Thailand,4237.0,60.0,71475664,513120,59.27891764671119,0.839446556243255,1.4160962945480293,0.008257327720611163,0.00011693171188026193,139.29619582164017
Togo,3251.0,66.0,8442580,56785,385.0718619189868,7.817515498816712,2.030144570901261,0.057251034604208856,0.0011622787708021485,148.67623492119398
Trinidad and Tobago,6879.0,122.0,1518147,5130,4531.181763030852,80.36112444974037,1.7735135920918739,1.34093567251462,0.023781676413255362,295.9350877192982
Tunisia,111361.0,3894.0,12161723,163610,9156.6795264125,320.1848948541255,3.4967358410933813,0.6806491045779598,0.023800501191858687,74.33361652710714
Turkey,995471.0,16199.0,84135428,783562,11831.769608398497,192.5348261139172,1.6272699054015638,1.2704431812670853,0.02067353955398552,107.37558482927962
Turks and Caicos Islands,769.0,6.0,44276,948,17368.325955370856,135.5135965308519,0.7802340702210664,0.8111814345991561,0.006329113924050633,46.70464135021097
Uganda,27532.0,221.0,44404611,241550,620.0256995833158,4.976960613392154,0.802702310039227,0.11398054233078038,0.0009149244462844132,183.83196439660526
Ukraine,900666.0,15247.0,43909666,603500,20511.79346251461,347.2356177794657,1.6928583958981465,1.492404308202154,0.025264291632145816,72.75835294117647
United States,16256754.0,299177.0,335942003,9372610,48391.549299656945,890.5614580145252,1.840324335350095,1.7344959408318494,0.03192035089478811,35.842951216363424
Uruguay,9708.0,92.0,3429086,181034,2831.075102811653,26.829306701552543,0.9476720230737536,0.053625285857905144,0.0005081918313686931,18.94166841587768
Uzbekistan,75094.0,612.0,33526656,447400,2239.8297044596397,18.254131876438855,0.8149785602045436,0.16784532856504247,0.0013679034421099686,74.93664729548503
"Venezuela, Bolivarian Republic of",107177.0,949.0,28490453,916445,3761.8566472074,33.30940367989235,0.8854511695606334,0.11694864394480847,0.0010355231355946074,31.088011828314848
